10,12-OCTADECADIENOIC ACID, (10E,12Z)-	N151ZM4M27	(10E,12Z)-OCTADECA-10,12-DIENOIC ACID	DB04746
EXENATIDE	9P1872D4OL	EXENATIDE	DB01276
EZATIOSTAT	057D10I8S8	TLK-199	DB05460
EZETIMIBE	EOR26LQQ24	EZETIMIBE	DB00973
EZOGABINE	12G01I6BBU	EZOGABINE	DB04953
FAMCICLOVIR	QIC03ANI02	FAMCICLOVIR	DB00426
FAMOTIDINE	5QZO15J2Z8	FAMOTIDINE	DB00927
FARNESOL, (2Z,6Z)-	J03523NK03	FARNESOL	DB02509
FARNESYL PYROPHOSPHATE	79W6B01D07	FARNESYL DIPHOSPHATE	DB07780
FAROPENEM MEDOXOMIL	5OK523O4FU	FAROPENEM MEDOXOMIL	DB05659
FASUDIL	Q0CH43PGXS	5-(1,4-DIAZEPAN-1-SULFONYL)ISOQUINOLINE	DB08162
FELBAMATE	X72RBB02N8	FELBAMATE	DB00949
FELBINAC	94WNJ5U8L7	BIPHENYL-4-YL-ACETALDEHYDE	DB07477
FENOFIBRATE	U202363UOS	FENOFIBRATE	DB01039
FENOFIBRIC ACID	BGF9MN2HU1	FENOFIBRATE	DB01039
FENRETINIDE	187EJ7QEXL	FENRETINIDE	DB05076
FENTANYL	UF599785JZ	FENTANYL	DB00813
FERULIC ACID	AVM951ZWST	3-(4-HYDROXY-3-METHOXYPHENYL)-2-PROPENOIC ACID	DB07767
FESOTERODINE	621G617227	FESOTERODINE	DB06702
FG-9041	62T278S1MX	DNQX	DB03759
FIDARESTAT	8SH8T1164U	FIDARESTAT	DB02021
FIDAXOMICIN	Z5N076G8YQ	FIDAXOMICIN	DB08874
FILAMINAST	CDD69JC61J	FILAMINAST	DB02660
FINASTERIDE	57GNO57U7G	FINASTERIDE	DB01216
FINGOLIMOD	3QN8BYN5QF	FTY 720	DB05286
FISETIN	OO2ABO9578	3,7,3',4'-TETRAHYDROXYFLAVONE	DB07795
FLAVIN ADENINE DINUCLEOTIDE	ZC44YTI8KK	FLAVIN ADENINE DINUCLEOTIDE	DB03147
FLAVONE	S2V45N7G3B	2-PHENYL-4H-CHROMEN-4-ONE	DB07776
FLAVOXATE	3E74Y80MEY	FLAVOXATE	DB01148
FLEROXACIN	N804LDH51K	FLEROXACIN	DB04576
FLIBANSERIN	37JK4STR6Z	FLIBANSERIN	DB04908
FLOXURIDINE	039LU44I5M	FLOXURIDINE	DB00322
FLUCLOXACILLIN	43B2M34G2V	FLUCLOXACILLIN	DB00301
FLUCONAZOLE	8VZV102JFY	FLUCONAZOLE	DB00196
FLUCYTOSINE	D83282DT06	FLUCYTOSINE	DB01099
FLUDARABINE	P2K93U8740	FLUDARABINE	DB01073
FLUDARABINE PHOSPHATE	1X9VK9O1SC	FLUDARABINE	DB01073
FLUDIAZEPAM	7F64A2K16Z	FLUDIAZEPAM	DB01567
FLUDROCORTISONE	U0476M545B	FLUDROCORTISONE	DB00687
FLUFENAMIC ACID	60GCX7Y6BH	FLUFENAMIC ACID	DB02266
FLUMAZENIL	40P7XK9392	FLUMAZENIL	DB01205
FLUMETHASONE PIVALATE	0DV09X6F21	FLUMETHASONE PIVALATE	DB00663
FLUNARIZINE	R7PLA2DM0J	FLUNARIZINE	DB04841
FLUNISOLIDE ANHYDROUS	78M02AA8KF	FLUNISOLIDE	DB00180
FLUNISOLIDE	QK4DYS664X	FLUNISOLIDE	DB00180
FLUNITRAZEPAM	620X0222FQ	FLUNITRAZEPAM	DB01544
FLUOCINOLONE ACETONIDE	0CD5FD6S2M	FLUOCINOLONE ACETONIDE	DB00591
FLUOCINONIDE	2W4A77YPAN	FLUOCINONIDE	DB01047
FLUORESCEIN	TPY09G7XIR	FLUORESCEIN	DB00693
FLUOROMETHOLONE	SV0CSG527L	FLUOROMETHOLONE	DB00324
FLUOROURACIL	U3P01618RT	FLUOROURACIL	DB00544
FLUOXETINE, (R)-	F279341RUQ	(3R)-N-METHYL-3-PHENYL-3-[4-(TRIFLUOROMETHYL)PHENOXY]PROPAN-1-AMINE	DB08472
FLUOXYMESTERONE	9JU12S4YFY	FLUOXYMESTERONE	DB01185
FLUPENTIXOL	FA0UYH6QUO	FLUPENTIXOL	DB00875
FLUPHENAZINE	S79426A41Z	FLUPHENAZINE	DB00623
FLUPIRTINE	MOH3ET196H	FLUPIRTINE	DB06623
FLURANDRENOLIDE	8EUL29XUQT	FLURANDRENOLIDE	DB00846
FLURAZEPAM	IHP475989U	FLURAZEPAM	DB00690
FLUSPIRILENE	C5QA4GLR9M	FLUSPIRILENE	DB04842
FLUTAMIDE	76W6J0943E	FLUTAMIDE	DB00499
FLUTICASONE	CUT2W21N7U	FLUTICASONE PROPIONATE	DB00588
FLUTICASONE FUROATE	JS86977WNV	FLUTICASONE FUROATE	DB08906
FLUTICASONE PROPIONATE	O2GMZ0LF5W	FLUTICASONE PROPIONATE	DB00588
FLUVOXAMINE	O4L1XPO44W	FLUVOXAMINE	DB00176
FOLIC ACID	935E97BOY8	FOLIC ACID	DB00158
FOMEPIZOLE	83LCM6L2BY	FOMEPIZOLE	DB01213
FONDAPARINUX SODIUM	X0Q6N9USOZ	FONDAPARINUX SODIUM	DB00569
FORASARTAN	065F7WPT0B	FORASARTAN	DB01342
FORMALDEHYDE	1HG84L3525	FORMALDEHYDE	DB03843
FORMEBOLONE	Z2MMV08KUQ	FORMEBOLONE	DB01569
FORMESTANE	PUB9T8T355	FORMESTANE	DB08905
FORMIC ACID	0YIW783RG1	FORMIC ACID	DB01942
FORMYLMETHIONINE	PS9357B4XH	N-FORMYLMETHIONINE	DB04464
FOSAMPRENAVIR	WOU1621EEG	FOSAMPRENAVIR	DB01319
FOSAPREPITANT	6L8OF9XRDC	FOSAPREPITANT	DB06717
FOSCARNET	364P9RVW4X	FOSCARNET	DB00529
FOSFOMYCIN	2N81MY12TE	FOSFOMYCIN	DB00828
FOSFRUCTOSE	M7522JYX1H	FRUCTOSE-1,6-DIPHOSPHATE	DB04551
FOSINOPRIL	R43D2573WO	FOSINOPRIL	DB00492
FOSMIDOMYCIN	5829E3D9I9	FOSMIDOMYCIN	DB02948
FOSPHENYTOIN	B4SF212641	FOSPHENYTOIN	DB01320
FOSPROPOFOL	LZ257RZP7K	FOSPROPOFOL	DB06716
FR-234938	10302WQ21V	FR233623	DB03220
FRAMYCETIN	4BOC774388	FRAMYCETIN	DB00452
FROVATRIPTAN	H82Q2D5WA7	FROVATRIPTAN	DB00998
FROVATRIPTAN SUCCINATE	D28J6W18HY	FROVATRIPTAN	DB00998
FUMAGILLIN	7OW73204U1	FUMAGILLIN	DB02640
FUMARIC ACID	88XHZ13131	FUMARATE	DB01677
FUMARIC ACID	88XHZ13131	MALEIC ACID	DB04299
FURAZABOL	2W07HSP5PX	FURAZABOL	DB01514
FURAZOLIDONE	5J9CPU3RE0	FURAZOLIDONE	DB00614
FUROSEMIDE	7LXU5N7ZO5	FUROSEMIDE	DB00695
FUSIDIC ACID	59XE10C19C	FUSIDIC ACID	DB02703
GABAPENTIN	6CW7F3G59X	GABAPENTIN	DB00996
GABOXADOL	K1M5RVL18S	GABOXADOL	DB06554
GADODIAMIDE	84F6U3J2R6	GADODIAMIDE	DB00225
GADOFOSVESET	E65RW73PHS	GADOFOSVESET TRISODIUM	DB06705
GADOFOSVESET TRISODIUM	XM33Q67UVH	GADOFOSVESET TRISODIUM	DB06705
GADOPENTETATE DIMEGLUMINE	RH248G8V27	GADOPENTETATE DIMEGLUMINE	DB00789
GADOVERSETAMIDE	RLM74T3Z9D	GADOVERSETAMIDE	DB00538
GADOXETIC ACID	3QJA87N40S	GADOXETATE	DB08884
GALACTURONIC ACID	4JK6RN80GF	GALACTURONIC ACID	DB03511
GALANTAMINE	0D3Q044KCA	GALANTAMINE	DB00674
GALLAMINE TRIETHIODIDE	Q3254X40X2	GALLAMINE TRIETHIODIDE	DB00483
GALLIUM NITRATE ANHYDROUS	Y2V2R4W9TQ	GALLIUM NITRATE	DB05260
GALLIUM NITRATE	VRA0C6810N	GALLIUM NITRATE	DB05260
.GAMMA.-CARBOXYGLUTAMIC ACID	16FQV4RZKL	GAMMA-CARBOXY-GLUTAMIC ACID	DB03847
GAMMA-GLUTAMYLCYSTEINE	M984VJS48P	GAMMA-GLUTAMYLCYSTEINE	DB03408
GANAXOLONE	98WI44OHIQ	GANAXOLONE	DB05087
GANCICLOVIR	P9G3CKZ4P5	GANCICLOVIR	DB01004
GANTACURIUM CHLORIDE	LEY8QK99UR	GANTACURIUM CHLORIDE	DB05710
GAVESTINEL	318X4QY113	GAVESTINEL	DB06741
GEFITINIB	S65743JHBS	GEFITINIB	DB00317
GELDANAMYCIN	Z3K3VJ16KU	GELDANAMYCIN	DB02424
GEMCABENE	B96UX1DDKS	GEMCABENE	DB05123
GEMCITABINE	B76N6SBZ8R	GEMCITABINE	DB00441
GEMFIBROZIL	Q8X02027X3	GEMFIBROZIL	DB01241
GENETICIN	A08F5XTI6G	G418	DB04263
GENISTEIN	DH2M523P0H	GENISTEIN	DB01645
GENTAMICIN C1A	AV4A72IATD	GENTAMICIN C1A	DB04729
GENTIAN VIOLET CATION	3GVJ31T6YY	GENTIAN VIOLET	DB00406
GENTIAN VIOLET	J4Z741D6O5	GENTIAN VIOLET	DB00406
GESTODENE	1664P6E6MI	GESTODENE	DB06730
GIBBERELLIC ACID	BU0A7MWB6L	GIBBERELLIN A3	DB07814
GINKGOLIDE A	TAZ2DPR77B	GINKGOLIDE-A	DB06743
GINKGOLIDE C	32ZQ957R4A	GINKGOLIDE-C	DB06745
GINKGOLIDE J	M5297RI2UE	GINKGOLIDE-J	DB06746
GINSENOSIDE C	N219O0L31C	GINSENOSIDE C	DB06748
GLICLAZIDE	G4PX8C4HKV	GLICLAZIDE	DB01120
GLIMEPIRIDE	6KY687524K	GLIMEPIRIDE	DB00222
GLIPIZIDE	X7WDT95N5C	GLIPIZIDE	DB01067
GLIQUIDONE	C7C2QDD75P	GLIQUIDONE	DB01251
GLISOXEPIDE	H7SC0I332I	GLISOXEPIDE	DB01289
GLUCONIC ACID	R4R8J0Q44B	GLUCONIC ACID	DB04304
GLUCONOLACTONE	WQ29KQ9POT	GLUCONOLACTONE	DB04564
GLUCOSAMINE	N08U5BOQ1K	GLUCOSAMINE	DB01296
GLUCOSE-6-PHOSPHATE	375AW34SQA	GLUCOSE-6-PHOSPHATE	DB03581
GLUCURONIC ACID	8A5D83Q4RW	D-GLUCURONIC ACID	DB03156
GLUFOSINATE, (R)-	M758GI0FEX	2-AMINO-4-(HYDROXYMETHYL-PHOSPHINYL)BUTANOIC ACID	DB02663
GLUTAMIC ACID	3KX376GY7L	D-GLUTAMIC ACID	DB02517
GLUTAMIC ACID	3KX376GY7L	L-GLUTAMIC ACID	DB00142
GLUTAMIC ACID, D-	Q479989WEA	D-GLUTAMIC ACID	DB02517
GLUTAMINE	0RH81L854J	D-GLUTAMINE	DB02174
GLUTAMINE	0RH81L854J	L-GLUTAMINE	DB00130
GLUTAMINE, D-	63HB36CA2Y	D-GLUTAMINE	DB02174
GLUTARAL	T3C89M417N	PENTANEDIAL	DB03266
GLUTARIC ACID	H849F7N00B	GLUTARIC ACID	DB03553
GLUTATHIONE	GAN16C9B8O	GLUTATHIONE	DB00143
GLYBURIDE	SX6K58TVWC	GLYBURIDE	DB01016
GLYCERALDEHYDE, D-	41A680M0WB	(2R)-2,3-DIHYDROXYPROPANAL	DB02536
GLYCERIN	PDC6A3C0OX	GLYCEROL	DB04077
GLYCEROL PHENYLBUTYRATE	ZH6F1VCV7B	GLYCEROL PHENYLBUTYRATE	DB08909
GLYCERYL 1-PHOSPHATE, (R)-	370V52HE4B	3-PHOSPHOGLYCEROL	DB02515
GLYCERYL 2-PHOSPHATE	WWH06G87W6	GLYCEROL-2-PHOSPHATE	DB01779
GLYCINE	TE7660XO1C	GLYCINE	DB00145
GLYCOCHENODEOXYCHOLIC ACID	451ZNJ667Y	GLYCOCHENODEOXYCHOLIC ACID	DB02123
GLYCOCYAMINE	GO52O1A04E	N-[AMINO(IMINO)METHYL]GLYCINE	DB02751
GLYCOLIC ACID	0WT12SX38S	HYDROXYACETIC ACID	DB03085
GLYMIDINE	4C5I4BQZ8F	GLYCODIAZINE	DB01382
GLYPHOSATE	4632WW1X5A	GLYPHOSATE	DB04539
GO-6850	L79H6N0V6C	RBT205 INHIBITOR	DB03777
GOLOTIMOD	637C487Y09	SCV-07	DB05475
GOSERELIN	0F65R8P09N	GOSERELIN	DB00014
GOSOGLIPTIN	GI718UO477	2-(4-{(3S,5S)-5-[(3,3-DIFLUOROPYRROLIDIN-1-YL)CARBONYL]PYRROLIDIN-3-YL}PIPERAZIN-1-YL)PYRIMIDINE	DB08382
GPI-1485	0709BVY57W	GPI-1485	DB05814
GRANISETRON	WZG3J2MCOL	GRANISETRON	DB00889
GRISEOFULVIN	32HRV3E3D5	GRISEOFULVIN	DB00400
GTS-21	8S399XDN2K	GTS-21	DB05708
GUANABENZ	GGD30112WC	GUANABENZ	DB00629
GUANETHIDINE	ZTI6C33Q2Q	GUANETHIDINE	DB01170
GUANFACINE	30OMY4G3MK	GUANFACINE	DB01018
GUANIDINE	JU58VJ6Y3B	GUANIDINE	DB00536
GUANINE	5Z93L87A1R	GUANINE	DB02377
GUANOSINE	12133JR80S	GUANOSINE	DB02857
GUVACINE	41538P325K	GUVACINE	DB08848
GW-501516	7I2HA1NU22	GW 501516	DB05416
GW-590735	QKY617BBX5	2-METHYL-2-(4-{[({4-METHYL-2-[4-(TRIFLUOROMETHYL)PHENYL]-1,3-THIAZOL-5-YL}CARBONYL)AMINO]METHYL}PHENOXY)PROPANOIC ACID	DB07215
H-89	M876330O56	N-[2-(4-BROMOCINNAMYLAMINO)ETHYL]-5-ISOQUINOLINE SULFONAMIDE	DB07995
HADACIDIN	BFO5P1010A	HADACIDIN	DB02109
HALAZEPAM	320YC168LF	HALAZEPAM	DB00801
HALOBETASOL	9P6159HM7T	HALOBETASOL PROPIONATE	DB00596
HALOBETASOL PROPIONATE	91A0K1TY3Z	HALOBETASOL PROPIONATE	DB00596
HALOPERIDOL	J6292F8L3D	HALOPERIDOL	DB00502
HALOPROGIN	AIU7053OWL	HALOPROGIN	DB00793
HALOXYFOP-P	I57833604I	(2S)-2-(4-{[3-CHLORO-5-(TRIFLUOROMETHYL)PYRIDIN-2-YL]OXY}PHENOXY)PROPANOIC ACID	DB07870
HARMINE	4FHH5G48T7	7-METHOXY-1-METHYL-9H-BETA-CARBOLINE	DB07919
HE3286	PH8858757I	HE3286	DB05212
HEPTABARBITAL	V10R70ML23	HEPTABARBITAL	DB01354
HEPTANAMIDE	6QX6H3415T	HEPTANAMIDE	DB02641
HEPTANOIC ACID	THE3YNP39D	HEPTANOIC ACID	DB02938
HESPERETIN	Q9Q3D557F1	HESPERETIN	DB01094
HESPERIDIN	E750O06Y6O	HESPERIDIN	DB04703
HETACILLIN	TN4JSC48CV	HETACILLIN	DB00739
HEXACHLOROPHENE	IWW5FV6NK2	HEXACHLOROPHENE	DB00756
HEXADECANAL	WQD27655QE	HEXADECANAL	DB03381
HEXAFLUORENIUM	55W5L6G81R	HEXAFLURONIUM	DB00941
HEXAMETHYLENEDIAMINE	ZRA5J5B2QW	1,6-DIAMINOHEXANE	DB03260
HEXAMIDINE	3483C2H13H	4,4'[1,6-HEXANEDIYLBIS(OXY)]BISBENZENECARBOXIMIDAMIDE	DB03808
HEXANE	2DDG612ED8	HEXANE	DB02764
HEXANEDIOL	ZIA319275I	HEXANE-1,6-DIOL	DB02210
HEXESTROL	10BI795R7D	4-[(1R,2S)-1-ETHYL-2-(4-HYDROXYPHENYL)BUTYL]PHENOL	DB07931
HISTAMINE DIHYDROCHLORIDE	3POA0Q644U	HD-O	DB05891
HISTAMINE PHOSPHATE	QWB37T4WZZ	HISTAMINE PHOSPHATE	DB00667
HISTIDINE	4QD397987E	L-HISTIDINE	DB00117
HOMOCYSTEINE	0LVT1QZ0BA	2-AMINO-4-MERCAPTO-BUTYRIC ACID	DB04422
HOMOGENTISIC ACID	NP8UE6VF08	2-(3,6-DIHYDROXYPHENYL)ACETIC ACID	DB08327
HOMOSERINE	6KA95X0IVO	L-HOMOSERINE	DB04193
HUPERZINE A	0111871I23	HUPERAINE A	DB01928
HUPERZINE A	0111871I23	HUPERZINE A	DB04864
HYDRACRYLIC ACID	C4ZF6XLD2X	3-HYDROXY-PROPANOIC ACID	DB03688
HYDRALAZINE	26NAK24LS8	HYDRALAZINE	DB01275
HYDROCHLOROTHIAZIDE	0J48LPH2TH	HYDROCHLOROTHIAZIDE	DB00999
HYDROCODONE	6YKS4Y3WQ7	HYDROCODONE	DB00956
HYDROCORTAMATE	Y3N00BK5WK	HYDROCORTAMATE	DB00769
HYDROCORTISONE	WI4X0X7BPJ	HYDROCORTISONE	DB00741
HYDROFLUMETHIAZIDE	501CFL162R	HYDROFLUMETHIAZIDE	DB00774
HYDROMORPHINOL	1O00P9X5C1	HYDROMORPHINOL	DB01512
HYDROMORPHONE	Q812464R06	HYDROMORPHONE	DB00327
HYDROOROTIC ACID, L-	4LPL64ZNA5	DIHYDROOROTIC ACID	DB02129
HYDROXOCOBALAMIN	Q40X8H422O	HYDROXOCOBALAMIN	DB00200
HYDROXYPROLINE	RMB44WO89X	HYDROXYPROLINE	DB08847
HYDROXYPYRUVIC ACID	934B2KHY0S	3-HYDROXYPYRUVIC ACID	DB02951
HYDROXYSTILBAMIDINE ISETHIONATE	0163PVD2QZ	HYDROXYSTILBAMIDINE ISETHIONATE	DB01040
HYDROXYTAMOXIFEN	95K54647BZ	AFIMOXIFENE	DB04468
HYDROXYUREA	X6Q56QN5QC	HYDROXYUREA	DB01005
HYMECROMONE	3T5NG4Q468	7-HYDROXY-4-METHYL-2H-CHROMEN-2-ONE	DB07118
HYOSCYAMINE	PX44XO846X	HYOSCYAMINE	DB00424
HYPERFORIN	RM741E34FP	HYPERFORIN	DB01892
HYPOPHOSPHITE ION	238U65NZ04	HYPOPHOSPHITE	DB04053
HYPOXANTHINE	2TN51YD919	HYPOXANTHINE	DB04076
IBANDRONIC ACID	UMD7G2653W	IBANDRONATE	DB00710
IBUDILAST	M0TTH61XC5	IBUDILAST	DB05266
ICATIBANT	7PG89G35Q7	ICATIBANT	DB06196
ICOSAPENT	AAN7QOV9EA	ICOSAPENT	DB00159
ICOSAPENT ETHYL	6GC8A4PAYH	ICOSAPENT ETHYL	DB08887
IDARUBICIN	ZRP63D75JW	IDARUBICIN	DB01177
IDOXURIDINE	LGP81V5245	IDOXURIDINE	DB00249
IDRONOXIL	995FT1W541	PHENOXODIOL	DB04915
ILOMASTAT	I0403ML141	GM6001	DB02255
ILOPERIDONE	VPO7KJ050N	ILOPERIDONE	DB04946
IMATINIB	BKJ8M8G5HI	IMATINIB	DB00619
IMIDACLOPRID	3BN7M937V8	(2E)-1-[(6-CHLOROPYRIDIN-3-YL)METHYL]-N-NITROIMIDAZOLIDIN-2-IMINE	DB07980
IMIPENEM	71OTZ9ZE0A	IMIPENEM	DB01598
IMIPENEM ANHYDROUS	Q20IM7HE75	IMIPENEM	DB01598
IMIPRAMINE	OGG85SX4E4	IMIPRAMINE	DB00458
IMIQUIMOD	P1QW714R7M	IMIQUIMOD	DB00724
IMPLITAPIDE	Q70OH404HR	IMPLITAPIDE	DB04852
INAMRINONE	JUT23379TN	AMRINONE	DB01427
INCADRONATE DISODIUM	7L16W0096A	INCADRONATE	DB06255
INDACATEROL	8OR09251MQ	INDACATEROL	DB05039
INDECAINIDE	3AZF20DM1T	INDECAINIDE	DB00192
INDEGLITAZAR	JMC809G4ZH	3-{5-METHOXY-1-[(4-METHOXYPHENYL)SULFONYL]-1H-INDOL-3-YL}PROPANOIC ACID	DB07724
INDENE	67H8Y6LB8A	INDENE	DB02815
INDINAVIR	5W6YA9PKKH	INDINAVIR	DB00224
INDINAVIR ANHYDROUS	9MG78X43ZT	INDINAVIR	DB00224
INDOLE	8724FJW4M5	INDOLE	DB04532
INDOLEACETIC ACID	6U1S09C61L	1H-INDOL-3-YLACETIC ACID	DB07950
INDOLEBUTYRIC ACID	061SKE27JP	3-INDOLEBUTYRIC ACID	DB02740
INDOMETHACIN	XXE1CET956	INDOMETHACIN	DB00328
INDOXYL SULFATE	KT0QA88913	3-SULFOOXY-1H-INDOLE	DB07992
INECALCITOL	05FZV98342	INECALCITOL	DB04796
INGENOL MEBUTATE	7686S50JAH	INGENOL MEBUTATE	DB05013
INOSINE	5A614L51CT	INOSINE	DB04335
INOSINIC ACID	TAO7US05G5	IMIPENEM	DB01598
INOSINIC ACID	TAO7US05G5	INOSINIC ACID	DB04566
INOSITOL	4L6452S749	MYO-INOSITOL	DB03106
INSULIN ASPART	D933668QVX	INSULIN ASPART	DB01306
INSULIN GLARGINE	2ZM8CX04RZ	INSULIN GLARGINE	DB00047
IOBENGUANE	35MRW7B4AD	IOBENGUANE	DB06704
IODINE	9679TC07X4	MOLECULAR IODINE	DB05382
IODIPAMIDE	TKQ858A3VW	IODIPAMIDE	DB04711
IODOBENZENE	9HK5L7YBBR	IODOPHENYL	DB02252
IOFLUPANE I-123	3MM99T8R5Q	IOFLUPANE I 123	DB08824
IPRONIAZID	D892HFI3XA	IPRONIAZID	DB04818
IRBESARTAN	J0E2756Z7N	IRBESARTAN	DB01029
IRINOTECAN	7673326042	IRINOTECAN	DB00762
IROFULVEN	6B799IH05A	MGI-114	DB05786
IRON	E1UOL152H7	IRON	DB01592
IROSUSTAT	366037O6O7	6-OXO-8,9,10,11-TETRAHYDRO-7H-CYCLOHEPTA[C][1]BENZOPYRAN-3-O-SULFAMATE	DB02292
ISATIN	82X95S7M06	ISATIN	DB02095
ISATOIC ANHYDRIDE	R8TFA74Y4U	ISATOIC ANHYDRIDE	DB03058
ISATORIBINE	85141ONN7O	ISATORIBINE	DB04860
ISATORIBINE ANHYDROUS	2DNT962H92	ISATORIBINE	DB04860
ISOAMYL ALCOHOL	DEM9NIT1J4	1-HYDROXY-3-METHYLBUTANE	DB02296
ISOBUTYLBENZENE	FI94T26KGB	ISOBUTYLBENZENE	DB04078
ISOBUTYLMETHYLXANTHINE	TBT296U68M	3-ISOBUTYL-1-METHYLXANTHINE	DB07954
ISOBUTYRIC ACID	8LL210O1U0	ISOBUTYRIC ACID	DB02531
ISOCAPROIC ACID	4G4U8JA28T	4-METHYL VALERIC ACID	DB03993
ISOCARBOXAZID	34237V843T	ISOCARBOXAZID	DB01247
ISOFERULIC ACID	XSQ2K2G7MC	(2E)-3-(3-HYDROXY-4-METHOXYPHENYL)PROP-2-ENOIC ACID	DB07109
ISOFLUROPHATE	12UHW9R67N	ISOFLUROPHATE	DB00677
ISOGLUTAMINE	WL74QNU57B	4-AMIDO-4-CARBAMOYL-BUTYRIC ACID	DB03091
ISOLEUCINE	04Y7590D77	L-ISOLEUCINE	DB00167
ISONIAZID	V83O1VOZ8L	ISONIAZID	DB00951
ISOPENTYL NITRITE	5N0U5TUC9Z	AMYL NITRITE	DB01612
ISOPROPAMIDE	8B9I31H724	ISOPROPAMIDE	DB01625
ISOQUINOLINE	JGX76Y85M6	ISOQUINOLINE	DB04329
ISOSORBIDE DINITRATE	IA7306519N	ISOSORBIDE DINITRATE	DB00883
ISOSORBIDE MONONITRATE	LX1OH63030	ISOSORBIDE MONONITRATE	DB01020
ISOTRETINOIN	EH28UP18IF	ISOTRETINOIN	DB00982
ISOVALERIC ACID	1BR7X184L5	ISOVALERIC ACID	DB03750
ISOVALINE, D-	IF7U5GXQ28	D-ISOVALINE	DB04171
ITOPRIDE	81BMQ80QRL	ITOPRIDE	DB04924
IVACAFTOR	1Y740ILL1Z	IVACAFTOR	DB08820
IXABEPILONE	K27005NP0A	IXABEPILONE	DB04845
JNJ-27390467 FREE BASE	B700BD3K5Y	(5-(AMINOMETHYL)-2H-SPIRO[BENZOFURAN-3,4'-PIPERIDINE]-1'-YL)(5-(PHENYLETHYNYL)FURAN-2-YL)METHANONE	DB06962
JOSAMYCIN	HV13HFS217	JOSAMYCIN	DB01321
K201	0I621Y6R4Q	K201	DB02929
K201 FREE BASE	EBY0ENK2GQ	K201	DB02929
K252A	IV7H45AM5B	K-252A	DB02152
KAEMPFEROL	731P2LE49E	KAEMPHEROL	DB01852
KAOLIN	24H4NWX5CO	KAOLIN	DB01575
KB-141	M5P363AFVC	3,5-DICHLORO-4-[(4-HYDROXY-3-ISOPROPYLPHENOXY)PHENYLACETIC ACID	DB03176
KELATORPHAN	46BBW2U5D6	N-[(2R)-2-BENZYL-4-(HYDROXYAMINO)-4-OXOBUTANOYL]-L-ALANINE	DB08040
KETOBEMIDONE HYDROCHLORIDE	U9U6LTV80K	KETOBEMIDONE	DB06738
KETOBEMIDONE	PQS1L514CF	KETOBEMIDONE	DB06738
KETOTIFEN FUMARATE	HBD503WORO	KETOTIFEN	DB00920
KETOTIFEN	X49220T18G	KETOTIFEN	DB00920
KOJIC ACID	6K23F1TT52	5-HYDROXY-2-(HYDROXYMETHYL)-4H-PYRAN-4-ONE	DB01759
KW-7158	S2T07V1P1G	KW-7158	DB05498
L-2,4-DIAMINOBUTYRIC ACID	61HPH2F0W7	2,4-DIAMINOBUTYRIC ACID	DB03817
LACOSAMIDE	563KS2PQY5	LACOSAMIDE	DB06218
LACTIC ACID, D-	3Q6M5SET7W	LACTIC ACID	DB04398
LAMIVUDINE	2T8Q726O95	LAMIVUDINE	DB00709
LAMOTRIGINE	U3H27498KS	LAMOTRIGINE	DB00555
LANCOVUTIDE	BPR0F3X56H	DURAMYCIN	DB05029
LANOSTEROL	1J05Z83K3M	LANOSTEROL	DB03696
LAPATINIB	0VUA21238F	LAPATINIB	DB01259
LAPATINIB DITOSYLATE	G873GX646R	LAPATINIB	DB01259
LAROMUSTINE	14J2G0U3NQ	VNP 40101M	DB05817
LATANOPROST	6Z5B6HVF6O	LATANOPROST	DB00654
LATRUNCULIN A	SRQ9WWM084	LATRUNCULIN A	DB02621
LATRUNCULIN B	LW7U308U7U	LATRUNCULIN B	DB08080
LAURAMINE OXIDE	4F6FC4MI8W	LAURYL DIMETHYLAMINE-N-OXIDE	DB04147
LAURIC ACID	1160N9NU9U	LAURIC ACID	DB03017
LAURTRIMONIUM	GT3793XV5S	DODECANE-TRIMETHYLAMINE	DB02779
LAURYL ALCOHOL	178A96NLP2	1-DODECANOL	DB06894
LAURYL ALCOHOL DIPHOSPHONIC ACID	S888WM4024	(1-HYDROXYDODECANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	DB07873
LAURYL BETAINE	Y4P927Q133	N-DODECYL-N,N-DIMETHYLGLYCINATE	DB07631
LAURYL SULFATE	DIQ16UC154	DODECYL SULFATE	DB03967
LEFLUNOMIDE	G162GK9U4W	LEFLUNOMIDE	DB01097
LEFRADAFIBAN	0R4888YXR5	LEFRADAFIBAN	DB04863
LEPIRUDIN	Y43GF64R34	LEPIRUDIN	DB00001
LESOPITRON	H1CGM4755H	LESOPITRON	DB04970
LETROZOLE	7LKK855W8I	LETROZOLE	DB01006
LEUCINE	GMW67QNF9C	D-LEUCINE	DB01746
LEUPROLIDE	EFY6W0M8TG	LEUPROLIDE	DB00007
LEVALBUTEROL	EDN2NBH5SS	SALBUTAMOL	DB01001
LEVALLORPHAN	353613BU4U	LEVALLORPHAN	DB00504
LEVAMISOLE	2880D3468G	LEVAMISOLE	DB00848
LEVETIRACETAM	44YRR34555	LEVETIRACETAM	DB01202
LEVOBUNOLOL	G6317AOI7K	LEVOBUNOLOL	DB01210
LEVOBUPIVACAINE	A5H73K9U3W	LEVOBUPIVACAINE	DB01002
LEVOCABASTINE	H68BP06S81	LEVOCABASTINE	DB01106
