FDAPreferredTerm|DrugBankDrugString|DrugBank
MEGLUTOL|3-Hydroxy-3-Methyl-Glutaric Acid|http://www.drugbank.ca/drugs/DB04377
MELATONIN|Melatonin|http://www.drugbank.ca/drugs/DB01065
MELLITIC ACID|Benzene Hexacarboxylic Acid|http://www.drugbank.ca/drugs/DB01681
MELOXICAM|Meloxicam|http://www.drugbank.ca/drugs/DB00814
MELPHALAN|Melphalan|http://www.drugbank.ca/drugs/DB01042
MENADIONE|Menadione|http://www.drugbank.ca/drugs/DB00170
MEPERIDINE|Pethidine|http://www.drugbank.ca/drugs/DB00454
MEPHENTERMINE|Mephentermine|http://www.drugbank.ca/drugs/DB01365
MEPROBAMATE|Meprobamate|http://www.drugbank.ca/drugs/DB00371
MERCAPTOPURINE ANHYDROUS|Mercaptopurine|http://www.drugbank.ca/drugs/DB01033
MERCURIC IODIDE|Mercury Diiodide|http://www.drugbank.ca/drugs/DB04445
MERIMEPODIB|Merimepodib|http://www.drugbank.ca/drugs/DB04862
MEROPENEM ANHYDROUS|Meropenem|http://www.drugbank.ca/drugs/DB00760
MESALAMINE|Mesalazine|http://www.drugbank.ca/drugs/DB00244
MESOXALIC ACID|Alpha-Ketomalonic Acid|http://www.drugbank.ca/drugs/DB03589
METACRESOL|M-Cresol|http://www.drugbank.ca/drugs/DB01776
METAMIZOLE SODIUM|Metamizole|http://www.drugbank.ca/drugs/DB04817
METARAMINOL|Metaraminol|http://www.drugbank.ca/drugs/DB00610
METFORMIN|Metformin|http://www.drugbank.ca/drugs/DB00331
METHAMPHETAMINE|Methamphetamine|http://www.drugbank.ca/drugs/DB01577
METHANTHELINE|Methantheline|http://www.drugbank.ca/drugs/DB00940
METHAPYRILENE HYDROCHLORIDE|Methapyrilene|http://www.drugbank.ca/drugs/DB04819
METHAQUALONE|Methaqualone|http://www.drugbank.ca/drugs/DB04833
METHARBITAL|Metharbital|http://www.drugbank.ca/drugs/DB00463
METHICILLIN|Meticillin|http://www.drugbank.ca/drugs/DB01603
METHIMAZOLE|Methimazole|http://www.drugbank.ca/drugs/DB00763
METHIONINE|L-Methionine|http://www.drugbank.ca/drugs/DB00134
METHIONINE, D-|D-Methionine|http://www.drugbank.ca/drugs/DB02893
METHOTREXATE|Methotrexate|http://www.drugbank.ca/drugs/DB00563
METHOXSALEN|Methoxsalen|http://www.drugbank.ca/drugs/DB00553
METHOXYFLURANE|Methoxyflurane|http://www.drugbank.ca/drugs/DB01028
METHYL .BETA.-D-GALACTOPYRANOSIDE|Methyl beta-galactoside|http://www.drugbank.ca/drugs/DB04046
METHYL AMINOLEVULINATE|Methyl aminolevulinate|http://www.drugbank.ca/drugs/DB00992
METHYL NONANOATE|Methyl Nonanoate (Ester)|http://www.drugbank.ca/drugs/DB01631
METHYLAMINE|Methylamine|http://www.drugbank.ca/drugs/DB01828
METHYLERGONOVINE|Methylergometrine|http://www.drugbank.ca/drugs/DB00353
METHYLMALONIC ACID|Methylmalonic Acid|http://www.drugbank.ca/drugs/DB04183
METHYLPREDNISOLONE|Methylprednisolone|http://www.drugbank.ca/drugs/DB00959
METHYLTESTOSTERONE|Methyltestosterone|http://www.drugbank.ca/drugs/DB06710
METIAMIDE|Metiamide|http://www.drugbank.ca/drugs/DB08805
METOCLOPRAMIDE|Metoclopramide|http://www.drugbank.ca/drugs/DB01233
METOCURINE|Metocurine|http://www.drugbank.ca/drugs/DB01336
METOCURINE IODIDE|Metocurine Iodide|http://www.drugbank.ca/drugs/DB00416
METOPRINE|METOPRINE, METHODICHLOROPHEN|http://www.drugbank.ca/drugs/DB04655
METRIBOLONE|Methyltrienolone|http://www.drugbank.ca/drugs/DB02998
METRONIDAZOLE|Metronidazole|http://www.drugbank.ca/drugs/DB00916
METYRAPONE|Metyrapone|http://www.drugbank.ca/drugs/DB01011
METYROSINE|Metyrosine|http://www.drugbank.ca/drugs/DB00765
MEZLOCILLIN|Mezlocillin|http://www.drugbank.ca/drugs/DB00948
M-HYDROXYHIPPURIC ACID|3-Hydroxyhippuric acid|http://www.drugbank.ca/drugs/DB07069
MIBEFRADIL|Mibefradil|http://www.drugbank.ca/drugs/DB01388
MICAFUNGIN|Micafungin|http://www.drugbank.ca/drugs/DB01141
MIDAZOLAM|Midazolam|http://www.drugbank.ca/drugs/DB00683
MIFEPRISTONE|Mifepristone|http://www.drugbank.ca/drugs/DB00834
MIGLITOL|Miglitol|http://www.drugbank.ca/drugs/DB00491
MIGLUSTAT|Miglustat|http://www.drugbank.ca/drugs/DB00419
MILRINONE|Milrinone|http://www.drugbank.ca/drugs/DB00235
MINAPRINE|Minaprine|http://www.drugbank.ca/drugs/DB00805
MINOCYCLINE|Minocycline|http://www.drugbank.ca/drugs/DB01017
MINOXIDIL|Minoxidil|http://www.drugbank.ca/drugs/DB00350
MIRABEGRON|Mirabegron |http://www.drugbank.ca/drugs/DB08893
MITOMYCIN|Mitomycin|http://www.drugbank.ca/drugs/DB00305
MITOXANTRONE|Mitoxantrone|http://www.drugbank.ca/drugs/DB01204
MOCLOBEMIDE|Moclobemide|http://www.drugbank.ca/drugs/DB01171
MOEXIPRIL|Moexipril|http://www.drugbank.ca/drugs/DB00691
MOMETASONE|Mometasone|http://www.drugbank.ca/drugs/DB00764
MONOBENZONE|Monobenzone|http://www.drugbank.ca/drugs/DB00600
MONOETHANOLAMINE|Ethanolamine|http://www.drugbank.ca/drugs/DB03994
MONOFLUOROPHOSPHATE ION|Fluoro-Phosphite Ion|http://www.drugbank.ca/drugs/DB02348
MONOPHENYL PHOSPHATE|Phenylphosphate|http://www.drugbank.ca/drugs/DB03298
MONTELUKAST|Montelukast|http://www.drugbank.ca/drugs/DB00471
MORICIZINE|Moricizine|http://www.drugbank.ca/drugs/DB00680
MORPHINE|Morphine|http://www.drugbank.ca/drugs/DB00295
MOTEXAFIN GADOLINIUM|motexafin gadolinium|http://www.drugbank.ca/drugs/DB05428
MOXIFLOXACIN|Moxifloxacin|http://www.drugbank.ca/drugs/DB00218
MUPIROCIN|Mupirocin|http://www.drugbank.ca/drugs/DB00410
MYCOPHENOLATE MOFETIL|Mycophenolate mofetil|http://www.drugbank.ca/drugs/DB00688
MYCOPHENOLIC ACID|Mycophenolic acid|http://www.drugbank.ca/drugs/DB01024
MYRICETIN|Myricetin|http://www.drugbank.ca/drugs/DB02375
MYRISTIC ACID|MYRISTIC ACID|http://www.drugbank.ca/drugs/DB08231
MYRISTYL SULFATE|Sodium Tetradecyl Sulfate|http://www.drugbank.ca/drugs/DB00464
N-(2-ACETAMIDO)IMINODIACETIC ACID|N-(2-Acetamido)Iminodiacetic Acid|http://www.drugbank.ca/drugs/DB02810
N,N-DIETHYLTRYPTAMINE|Diethyltryptamine|http://www.drugbank.ca/drugs/DB01460
N,N-DIMETHYLFORMAMIDE|Dimethylformamide|http://www.drugbank.ca/drugs/DB01844
N,N-DIMETHYLGLYCINE|Dimethylglycine|http://www.drugbank.ca/drugs/DB02083
NABUMETONE|Nabumetone|http://www.drugbank.ca/drugs/DB00461
N-ACETYLGLUCOSAMINE|N-Acetyl-D-glucosamine|http://www.drugbank.ca/drugs/DB00141
N-ACETYLMETHIONINE|N-Acetylmethionine|http://www.drugbank.ca/drugs/DB01646
N-ACETYLSERINE|N-Acetyl-Serine|http://www.drugbank.ca/drugs/DB02340
N-ACETYLSEROTONIN|N-Acetyl Serotonin|http://www.drugbank.ca/drugs/DB04275
NADH|NADH|http://www.drugbank.ca/drugs/DB00157
NAFCILLIN|Nafcillin|http://www.drugbank.ca/drugs/DB00607
NAFTIFINE|Naftifine|http://www.drugbank.ca/drugs/DB00735
NALBUPHINE|Nalbuphine|http://www.drugbank.ca/drugs/DB00844
NALIDIXIC ACID|Nalidixic Acid|http://www.drugbank.ca/drugs/DB00779
NALOXONE|Naloxone|http://www.drugbank.ca/drugs/DB01183
NALTREXONE|Naltrexone|http://www.drugbank.ca/drugs/DB00704
NANDROLONE DECANOATE|Nandrolone decanoate|http://www.drugbank.ca/drugs/DB08804
NANDROLONE PHENPROPIONATE|Nandrolone phenpropionate|http://www.drugbank.ca/drugs/DB00984
NAPHAZOLINE|Naphazoline|http://www.drugbank.ca/drugs/DB06711
NARATRIPTAN|Naratriptan|http://www.drugbank.ca/drugs/DB00952
NARINGENIN|Naringenin|http://www.drugbank.ca/drugs/DB03467
N-BUTYLBENZENESULFONAMIDE|N-Butyl-Benzenesulfonamide|http://www.drugbank.ca/drugs/DB02055
N-CARBAMOYLASPARTIC ACID|N-Carbamoyl-L-Aspartate|http://www.drugbank.ca/drugs/DB04252
NEAMINE|Neamine|http://www.drugbank.ca/drugs/DB04808
NEDOCROMIL|Nedocromil|http://www.drugbank.ca/drugs/DB00716
NEFAZODONE|Nefazodone|http://www.drugbank.ca/drugs/DB01149
NELARABINE|Nelarabine|http://www.drugbank.ca/drugs/DB01280
NEOPTERIN, D-THREO-|Neopterin|http://www.drugbank.ca/drugs/DB02385
NEOSTIGMINE|Neostigmine|http://www.drugbank.ca/drugs/DB01400
NEPAFENAC|Nepafenac|http://www.drugbank.ca/drugs/DB06802
NERAMEXANE|Neramexane|http://www.drugbank.ca/drugs/DB04926
N-ETHYLMALEIMIDE|N-Ethylmaleimide|http://www.drugbank.ca/drugs/DB02967
NEVIRAPINE|Nevirapine|http://www.drugbank.ca/drugs/DB00238
NIACIN|Niacin|http://www.drugbank.ca/drugs/DB00627
NIACINAMIDE|Nicotinamide|http://www.drugbank.ca/drugs/DB02701
NIALAMIDE|Nialamide|http://www.drugbank.ca/drugs/DB04820
NICERGOLINE|Nicergoline|http://www.drugbank.ca/drugs/DB00699
NICLOSAMIDE|Niclosamide|http://www.drugbank.ca/drugs/DB06803
NICOTINYL ALCOHOL|Pyridin-3-Ylmethanol|http://www.drugbank.ca/drugs/DB04145
NIFEDIPINE|Nifedipine|http://www.drugbank.ca/drugs/DB01115
NIFLUMIC ACID|Niflumic Acid|http://www.drugbank.ca/drugs/DB04552
NILOTINIB|Nilotinib|http://www.drugbank.ca/drugs/DB04868
NILUTAMIDE|Nilutamide|http://www.drugbank.ca/drugs/DB00665
NIMESULIDE|Nimesulide|http://www.drugbank.ca/drugs/DB04743
NITAZOXANIDE|Nitazoxanide|http://www.drugbank.ca/drugs/DB00507
NITISINONE|Nitisinone|http://www.drugbank.ca/drugs/DB00348
NITRAZEPAM|Nitrazepam|http://www.drugbank.ca/drugs/DB01595
NITRIC OXIDE|Nitric Oxide|http://www.drugbank.ca/drugs/DB00435
NITRILOTRIACETIC ACID|Nitrilotriacetic Acid|http://www.drugbank.ca/drugs/DB03040
NITROARGININE|Nitroarginine|http://www.drugbank.ca/drugs/DB04223
NITROFURAZONE|Nitrofural|http://www.drugbank.ca/drugs/DB00336
NITROGLYCERIN|Nitroglycerin|http://www.drugbank.ca/drugs/DB00727
NITROXOLINE|Nitroxoline|http://www.drugbank.ca/drugs/DB01422
NOCODAZOLE|nocodazole|http://www.drugbank.ca/drugs/DB08313
NONYL ALCOHOL|Nonan-1-Ol|http://www.drugbank.ca/drugs/DB03143
NOREPINEPHRINE|Norepinephrine|http://www.drugbank.ca/drugs/DB00368
NORETHINDRONE|Norethindrone|http://www.drugbank.ca/drugs/DB00717
NORFLOXACIN|Norfloxacin|http://www.drugbank.ca/drugs/DB01059
NORGESTIMATE|Norgestimate|http://www.drugbank.ca/drugs/DB00957
NORLEUCINE, D-(-)-|Norleucine|http://www.drugbank.ca/drugs/DB04419
NORTRIPTYLINE|Nortriptyline|http://www.drugbank.ca/drugs/DB00540
NORVALINE|Norvaline|http://www.drugbank.ca/drugs/DB04185
NOVOBIOCIN|Novobiocin|http://www.drugbank.ca/drugs/DB01051
O-AMINOPHENOL|2-Aminophenol|http://www.drugbank.ca/drugs/DB01726
O-BROMOPHENOL|2-bromophenol|http://www.drugbank.ca/drugs/DB04586
OCTAMETHYLENEDIAMINE|Octamethylenediamine|http://www.drugbank.ca/drugs/DB04333
OCTANE|N-Octane|http://www.drugbank.ca/drugs/DB02440
OCTANOIC ACID|Caprylic acid|http://www.drugbank.ca/drugs/DB04519
OFLOXACIN, D-|Dextrofloxacine|http://www.drugbank.ca/drugs/DB03034
OLANZAPINE|Olanzapine|http://www.drugbank.ca/drugs/DB00334
OLMESARTAN|Olmesartan|http://www.drugbank.ca/drugs/DB00275
OLOMOUCINE|Olomoucine|http://www.drugbank.ca/drugs/DB02116
OLOPATADINE|Olopatadine|http://www.drugbank.ca/drugs/DB00768
OLSALAZINE|Olsalazine|http://www.drugbank.ca/drugs/DB01250
O-PHENANTHROLINE|1,10-Phenanthroline|http://www.drugbank.ca/drugs/DB02365
ORITAVANCIN|Oritavancin|http://www.drugbank.ca/drugs/DB04911
ORLISTAT|Orlistat|http://www.drugbank.ca/drugs/DB01083
ORNITHINE|L-Ornithine|http://www.drugbank.ca/drugs/DB00129
OROTIC ACID|Orotic Acid|http://www.drugbank.ca/drugs/DB02262
OSANETANT|Osanetant|http://www.drugbank.ca/drugs/DB04872
OSELTAMIVIR|Oseltamivir|http://www.drugbank.ca/drugs/DB00198
OSPEMIFENE|Ospemifene|http://www.drugbank.ca/drugs/DB04938
OTERACIL|Oxonic Acid|http://www.drugbank.ca/drugs/DB03209
OUABAIN|Ouabain|http://www.drugbank.ca/drugs/DB01092
OXACILLIN|Oxacillin|http://www.drugbank.ca/drugs/DB00713
OXALIC ACID|Oxalic Acid|http://www.drugbank.ca/drugs/DB03902
OXAMIC ACID|Oxamic Acid|http://www.drugbank.ca/drugs/DB03940
OXANDROLONE|Oxandrolone|http://www.drugbank.ca/drugs/DB00621
OXAPROZIN|Oxaprozin|http://www.drugbank.ca/drugs/DB00991
OXCARBAZEPINE|Oxcarbazepine|http://www.drugbank.ca/drugs/DB00776
OXELADIN|Oxeladin|http://www.drugbank.ca/drugs/DB04822
OXIBENDAZOLE|Oxibendazole|http://www.drugbank.ca/drugs/DB04910
OXITRIPTAN|Oxitriptan|http://www.drugbank.ca/drugs/DB02959
OXTRIPHYLLINE|Oxtriphylline|http://www.drugbank.ca/drugs/DB01303
OXYBENZONE|Oxybenzone|http://www.drugbank.ca/drugs/DB01428
OXYCODONE|Oxycodone|http://www.drugbank.ca/drugs/DB00497
O-XYLENE|Ortho-Xylene|http://www.drugbank.ca/drugs/DB03029
OXYMETAZOLINE|Oxymetazoline|http://www.drugbank.ca/drugs/DB00935
OXYMORPHONE|Oxymorphone|http://www.drugbank.ca/drugs/DB01192
OXYPHENISATIN|Oxyphenisatin|http://www.drugbank.ca/drugs/DB04823
OXYPURINOL|Oxypurinol|http://www.drugbank.ca/drugs/DB05262
OXYTETRACYCLINE ANHYDROUS|Oxytetracycline|http://www.drugbank.ca/drugs/DB00595
PA-824|PA824|http://www.drugbank.ca/drugs/DB05154
PACLITAXEL|Paclitaxel|http://www.drugbank.ca/drugs/DB01229
PACLITAXEL DOCOSAHEXAENOIC ACID|DHA-paclitaxel|http://www.drugbank.ca/drugs/DB05297
PALMITIC ACID|Palmitic Acid|http://www.drugbank.ca/drugs/DB03796
PALMITOYL GLYCINE|N-Hexadecanoylglycine|http://www.drugbank.ca/drugs/DB03440
PAMIDRONIC ACID|Pamidronate|http://www.drugbank.ca/drugs/DB00282
PANCURONIUM|Pancuronium|http://www.drugbank.ca/drugs/DB01337
P-ANISIC ACID|P-Anisic Acid|http://www.drugbank.ca/drugs/DB02795
PAPAVERINE|Papaverine|http://www.drugbank.ca/drugs/DB01113
PARA-CRESOL|P-Cresol|http://www.drugbank.ca/drugs/DB01688
PARAMETHASONE|Paramethasone|http://www.drugbank.ca/drugs/DB01384
PARECOXIB|parecoxib|http://www.drugbank.ca/drugs/DB08439
PARGYLINE|Pargyline|http://www.drugbank.ca/drugs/DB01626
PARICALCITOL|Paricalcitol|http://www.drugbank.ca/drugs/DB00910
PAROMOMYCIN|Paromomycin|http://www.drugbank.ca/drugs/DB01421
PAROXETINE|Paroxetine|http://www.drugbank.ca/drugs/DB00715
PASIREOTIDE|Pasireotide|http://www.drugbank.ca/drugs/DB06663
PAZOPANIB|Pazopanib|http://www.drugbank.ca/drugs/DB06589
P-CHLOROBENZOIC ACID|4-Chlorobenzoic Acid|http://www.drugbank.ca/drugs/DB03728
P-COUMARIC ACID|Para-Coumaric Acid|http://www.drugbank.ca/drugs/DB04066
PEFLOXACIN|Pefloxacin|http://www.drugbank.ca/drugs/DB00487
PELDESINE|Peldesine|http://www.drugbank.ca/drugs/DB02568
PEMIROLAST|Pemirolast|http://www.drugbank.ca/drugs/DB00885
PENBUTOLOL|Penbutolol|http://www.drugbank.ca/drugs/DB01359
PENCICLOVIR|Penciclovir|http://www.drugbank.ca/drugs/DB00299
PENICILLIN G|Benzylpenicillin|http://www.drugbank.ca/drugs/DB01053
PENICILLIN V|Penicillin V|http://www.drugbank.ca/drugs/DB00417
PENTABROMOPHENOL|Pentabromophenol|http://www.drugbank.ca/drugs/DB03167
PENTADECANE|Pentadecane|http://www.drugbank.ca/drugs/DB03715
PENTAMIDINE|Pentamidine|http://www.drugbank.ca/drugs/DB00738
PENTANE|Pentane|http://www.drugbank.ca/drugs/DB03119
PENTOLINIUM|Pentolinium|http://www.drugbank.ca/drugs/DB01090
PENTOSTATIN|Pentostatin|http://www.drugbank.ca/drugs/DB00552
PENTOXIFYLLINE|Pentoxifylline|http://www.drugbank.ca/drugs/DB00806
PENTYLAMINE|Amylamine|http://www.drugbank.ca/drugs/DB02045
PERCHLORATE ION|Perchlorate Ion|http://www.drugbank.ca/drugs/DB03138
PERFLUBRON|Perflubron emulsion|http://www.drugbank.ca/drugs/DB05791
PERFLUTREN|Perflutren|http://www.drugbank.ca/drugs/DB00556
PERGOLIDE|Pergolide|http://www.drugbank.ca/drugs/DB01186
PERICIAZINE|Propericiazine|http://www.drugbank.ca/drugs/DB01608
PERINDOPRIL|Perindopril|http://www.drugbank.ca/drugs/DB00790
PERPHENAZINE|Perphenazine|http://www.drugbank.ca/drugs/DB00850
PHENACEMIDE|Phenacemide|http://www.drugbank.ca/drugs/DB01121
PHENACETIN|Phenacetin|http://www.drugbank.ca/drugs/DB03783
PHENANTHRENE|PHENANTHRENE|http://www.drugbank.ca/drugs/DB08381
PHENAZOPYRIDINE|Phenazopyridine|http://www.drugbank.ca/drugs/DB01438
PHENCYCLIDINE|Phencyclidine|http://www.drugbank.ca/drugs/DB03575
PHENELZINE|Phenelzine|http://www.drugbank.ca/drugs/DB00780
PHENFORMIN|Phenformin|http://www.drugbank.ca/drugs/DB00914
PHENINDIONE|Phenindione|http://www.drugbank.ca/drugs/DB00498
PHENOBARBITAL|Phenobarbital|http://www.drugbank.ca/drugs/DB01174
PHENOL|Phenol|http://www.drugbank.ca/drugs/DB03255
PHENOLPHTHALEIN|Phenolphthalein|http://www.drugbank.ca/drugs/DB04824
PHENSERINE|Phenserine|http://www.drugbank.ca/drugs/DB04892
PHENTERMINE|Phentermine|http://www.drugbank.ca/drugs/DB00191
PHENTOLAMINE|Phentolamine|http://www.drugbank.ca/drugs/DB00692
PHENYLACETALDEHYDE|Phenylacetaldehyde|http://www.drugbank.ca/drugs/DB02178
PHENYLALANINE|L-Phenylalanine|http://www.drugbank.ca/drugs/DB00120
PHENYLALANINE, D-|D-Phenylalanine|http://www.drugbank.ca/drugs/DB02556
PHENYLALANYLAMIDE|Phenylalanine Amide|http://www.drugbank.ca/drugs/DB04029
PHENYLBUTAZONE|Phenylbutazone|http://www.drugbank.ca/drugs/DB00812
PHENYLBUTYRIC ACID|Gamma-Phenyl-Butyric Acid|http://www.drugbank.ca/drugs/DB02000
PHENYLEPHRINE|Phenylephrine|http://www.drugbank.ca/drugs/DB00388
PHENYLETHYL ALCOHOL|2-Phenyl-Ethanol|http://www.drugbank.ca/drugs/DB02192
PHENYLGLYOXYLIC ACID|Benzoylformic Acid|http://www.drugbank.ca/drugs/DB02279
PHENYLPYRUVIC ACID|3-Phenylpyruvic Acid|http://www.drugbank.ca/drugs/DB03884
PHENYLTHIOUREA|N-Phenylthiourea|http://www.drugbank.ca/drugs/DB03694
PHENYTOIN|Phenytoin|http://www.drugbank.ca/drugs/DB00252
P-HEPTYLPHENOL|Heptanyl-P-Phenol|http://www.drugbank.ca/drugs/DB03941
PHOSPHONOACETIC ACID|Phosphonoacetic Acid|http://www.drugbank.ca/drugs/DB02823
PHTHALIC ACID|Phthalic Acid|http://www.drugbank.ca/drugs/DB02746
P-HYDROXYMERCURIBENZOIC ACID|4-(Hydroxymercury)Benzoic Acid|http://www.drugbank.ca/drugs/DB01671
PHYSOSTIGMINE|Physostigmine|http://www.drugbank.ca/drugs/DB00981
PHYTONADIONE, (E)-|Phylloquinone|http://www.drugbank.ca/drugs/DB01022
PIBOSEROD|Piboserod|http://www.drugbank.ca/drugs/DB04873
PICLAMILAST|Piclamilast|http://www.drugbank.ca/drugs/DB01791
PICOPLATIN|Picoplatin|http://www.drugbank.ca/drugs/DB04874
PILOCARPINE|Pilocarpine|http://www.drugbank.ca/drugs/DB01085
PIMAGEDINE|Aminoguanidine|http://www.drugbank.ca/drugs/DB02533
PIMAGEDINE HYDROCHLORIDE|pimagedine HCl|http://www.drugbank.ca/drugs/DB05383
PIMELIC ACID|Pimelic Acid|http://www.drugbank.ca/drugs/DB01856
PIMOZIDE|Pimozide|http://www.drugbank.ca/drugs/DB01100
P-IODOPHENOL|4-Iodophenol|http://www.drugbank.ca/drugs/DB03002
PIPAZETHATE|Pipazethate|http://www.drugbank.ca/drugs/DB08796
PIPECURONIUM|Pipecuronium|http://www.drugbank.ca/drugs/DB01338
PIPERACILLIN ANHYDROUS|Piperacillin|http://www.drugbank.ca/drugs/DB00319
PIPERAZINE|Piperazine|http://www.drugbank.ca/drugs/DB00592
PIPOBROMAN|Pipobroman|http://www.drugbank.ca/drugs/DB00236
PIPOTIAZINE|Pipotiazine|http://www.drugbank.ca/drugs/DB01621
PIRENZEPINE|Pirenzepine|http://www.drugbank.ca/drugs/DB00670
PIRETANIDE|Piretanide|http://www.drugbank.ca/drugs/DB02925
PIRFENIDONE|Pirfenidone|http://www.drugbank.ca/drugs/DB04951
PIROXICAM|Piroxicam|http://www.drugbank.ca/drugs/DB00554
PITAVASTATIN|Pitavastatin|http://www.drugbank.ca/drugs/DB08860
PIVAMPICILLIN|Pivampicillin|http://www.drugbank.ca/drugs/DB01604
PLECONARIL|Pleconaril|http://www.drugbank.ca/drugs/DB05105
PLERIXAFOR|Plerixafor|http://www.drugbank.ca/drugs/DB06809
PLICAMYCIN|Plicamycin|http://www.drugbank.ca/drugs/DB06810
P-NITROPHENOL|P-Nitrophenol|http://www.drugbank.ca/drugs/DB04417
PODOFILOX|Podofilox|http://www.drugbank.ca/drugs/DB01179
PONATINIB|Ponatinib |http://www.drugbank.ca/drugs/DB08901
POTASSIUM CHLORIDE|Potassium Chloride|http://www.drugbank.ca/drugs/DB00761
POTASSIUM IODIDE|Potassium Iodide|http://www.drugbank.ca/drugs/DB06715
PPI-2458|PPI-2458|http://www.drugbank.ca/drugs/DB05864
PRADEFOVIR MESYLATE|pradefovir mesylate|http://www.drugbank.ca/drugs/DB05478
PRALIDOXIME|Pralidoxime|http://www.drugbank.ca/drugs/DB00733
PRALNACASAN|Pralnacasan|http://www.drugbank.ca/drugs/DB04875
PRAMIPEXOLE|Pramipexole|http://www.drugbank.ca/drugs/DB00413
PRASTERONE|Dehydroepiandrosterone|http://www.drugbank.ca/drugs/DB01708
PRASTERONE SULFATE|dehydroepiandrosterone sulfate|http://www.drugbank.ca/drugs/DB05804
PRAZEPAM|Prazepam|http://www.drugbank.ca/drugs/DB01588
PRAZOSIN|Prazosin|http://www.drugbank.ca/drugs/DB00457
PREDNISOLONE|Prednisolone|http://www.drugbank.ca/drugs/DB00860
PREDNISONE|Prednisone|http://www.drugbank.ca/drugs/DB00635
PREGABALIN|Pregabalin|http://www.drugbank.ca/drugs/DB00230
PREGNENOLONE|Pregnenolone|http://www.drugbank.ca/drugs/DB02789
PRIMIDONE|Primidone|http://www.drugbank.ca/drugs/DB00794
PROBENECID|Probenecid|http://www.drugbank.ca/drugs/DB01032
PROBUCOL|Probucol|http://www.drugbank.ca/drugs/DB01599
PROCAINAMIDE|Procainamide|http://www.drugbank.ca/drugs/DB01035
PROCAINE|Procaine|http://www.drugbank.ca/drugs/DB00721
PROCARBAZINE|Procarbazine|http://www.drugbank.ca/drugs/DB01168
PROCHLORPERAZINE|Prochlorperazine|http://www.drugbank.ca/drugs/DB00433
PROFLAVINE|Proflavine|http://www.drugbank.ca/drugs/DB01123
PROGESTERONE|Progesterone|http://www.drugbank.ca/drugs/DB00396
PROGUANIL|Proguanil|http://www.drugbank.ca/drugs/DB01131
PROLINE|D-Proline|http://www.drugbank.ca/drugs/DB02853
PROMAZINE|Promazine|http://www.drugbank.ca/drugs/DB00420
PROPANE TRICARBOXYLIC ACID|Tricarballylic Acid|http://www.drugbank.ca/drugs/DB04562
PROPANEDIOL|1,3-Propandiol|http://www.drugbank.ca/drugs/DB02774
PROPANTHELINE|Propantheline|http://www.drugbank.ca/drugs/DB00782
PROPARACAINE|Proparacaine|http://www.drugbank.ca/drugs/DB00807
PROPIDIUM|Propidium|http://www.drugbank.ca/drugs/DB02166
PROPIONAMIDE|Propionamide|http://www.drugbank.ca/drugs/DB04161
PROPIONIC ACID|Propanoic Acid|http://www.drugbank.ca/drugs/DB03766
PROPOFOL|Propofol|http://www.drugbank.ca/drugs/DB00818
PROPYL ACETATE|Propyl Acetate|http://www.drugbank.ca/drugs/DB01670
PROPYL ALCOHOL|1-Proponol|http://www.drugbank.ca/drugs/DB03175
PROPYLENE GLYCOL, (R)-|R-1,2-Propanediol|http://www.drugbank.ca/drugs/DB02159
PROPYLENE GLYCOL, (S)-|S-1,2-Propanediol|http://www.drugbank.ca/drugs/DB04349
PROPYLTHIOURACIL|Propylthiouracil|http://www.drugbank.ca/drugs/DB00550
PROTRIPTYLINE|Protriptyline|http://www.drugbank.ca/drugs/DB00344
PSEUDOEPHEDRINE|Pseudoephedrine|http://www.drugbank.ca/drugs/DB00852
PTEROIC ACID|Pteroic Acid|http://www.drugbank.ca/drugs/DB04196
P-TOLUENESULFONIC ACID|Para-Toluene Sulfonate|http://www.drugbank.ca/drugs/DB03120
PUROMYCIN|PUROMYCIN|http://www.drugbank.ca/drugs/DB08437
PUTRESCINE|Putrescine|http://www.drugbank.ca/drugs/DB01917
P-XYLENE|Para-Xylene|http://www.drugbank.ca/drugs/DB03463
PYRAZINAMIDE|Pyrazinamide|http://www.drugbank.ca/drugs/DB00339
PYRAZOLE|Pyrazole|http://www.drugbank.ca/drugs/DB02757
PYRIDOSTIGMINE|Pyridostigmine|http://www.drugbank.ca/drugs/DB00545
PYRIDOXAL|Pyridoxal|http://www.drugbank.ca/drugs/DB00147
PYRIDOXAL PHOSPHATE ANHYDROUS|Pyridoxal Phosphate|http://www.drugbank.ca/drugs/DB00114
PYRIDOXAMINE PHOSPHATE ANHYDROUS|Pyridoxamine-5'-Phosphate|http://www.drugbank.ca/drugs/DB02142
PYRIDOXINE|Pyridoxine|http://www.drugbank.ca/drugs/DB00165
PYRIDOXINE PHOSPHATE|Pyridoxine-5'-Phosphate|http://www.drugbank.ca/drugs/DB02209
PYRILAMINE|Mepyramine|http://www.drugbank.ca/drugs/DB06691
PYRIMETHAMINE|Pyrimethamine|http://www.drugbank.ca/drugs/DB00205
PYROMELLITIC ACID|Pyromellitic Acid|http://www.drugbank.ca/drugs/DB02749
PYRUVALDEHYDE|Pyruvoyl Group|http://www.drugbank.ca/drugs/DB03587
PYRUVIC ACID|Pyruvic acid|http://www.drugbank.ca/drugs/DB00119
QUAZEPAM|Quazepam|http://www.drugbank.ca/drugs/DB01589
